Title,Corp,Condition,Location,Tag,Link
기획 마케팅 신입경력 모집,㈜지트파워,경력무관학력무관정규직,서울금천구,"마케팅, 마케팅기획, 영업마케팅, 솔루션업체, 소프트웨어개발 외 수정일 22/10/24",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44057830
[지니웍스] 광고 마케팅 플랫폼 디자이너 채용,(주)지니웍스,경력무관학력무관정규직,서울강남구,"일러스트레이터, 웹디자인, 그래픽디자인, 캐릭터디자인, 광고디자인 외 수정일 22/11/17",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44380075
SW 검증 (미래차검증전략 검증),슈어소프트테크(주),경력 2~7년초대졸↑정규직,서울전체,"C언어, C++, S/W, S/W, 소프트웨어개발 수정일 22/02/09",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41424707
회로 설계 및 PCB Artwork 개발자 (대전),프리시젼바이오(주),신입·경력대졸↑정규직,대전전체,"C언어, VHDL, OrCAD, PCB, C++ 외 수정일 22/05/31",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=42922133
[루미르] 재무·회계·세무 정규직 경력 모집,루미르(주),경력 5~15년대졸↑정규직,경기용인시 수지구,"IFRS, IPO, 재무, 회계, 재무회계 외 등록일 22/11/10",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44405750
"iOS 앱 개발, 의료기기, 블루투스기기, MQTT, 서버등 연동",(주)초이스테크놀로지,신입·경력초대졸↑정규직,인천전체,"Objective-C, C++, iOS, Swift, 앱개발 외 수정일 22/11/08",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44207250
무역 코레스 신입사원 모집,㈜진영약품,"신입대졸↑정규직3,100 만원",서울강남구,"수출입, 무역사무원, 무역영어, 선적, 무역중개인 외 등록일 22/10/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44235131
FPGA HDL 설계 신입 & 경력 모집,(주)엘트로닉스,경력무관초대졸↑정규직,경기수원시 권선구,"C++, FPGA, Verilog, Firmware 등록일 22/11/04",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44358539
(주)성훈철강  출하부 기사직 모집합니다,(주)성훈철강,경력무관고졸↑정규직·계약직,경남진주시,"제조, 제조가공, 단순생산직, 제조업 회사본사 등록일 22/10/25",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44287985
"[온라인] CS 팀원 채용, 쇼핑몰 전화상담, 고객관리, 강동 사옥",(주)소풍인터내셔널,경력무관초대졸↑정규직,서울강동구,"Excel, CS, 사무보조, 고객관리, 상담원 외 등록일 22/11/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44461487
