Title,Corp,Condition,Location,Tag,Link
인체 위해성 및 노출 평가 신입 연구원 모집,이에이치알앤씨(주),신입대졸↑정규직,서울강서구,"연구원, R&D, 생명과학, 환경오염, 독성학 외 수정일 22/11/15",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44433429
(주)에이비에이치 2022 신입/경력사원 AI연구팀 (울산/부산),(주)에이비에이치,경력무관학력무관정규직,울산중구,"Python, 빅데이터, 머신러닝, 딥러닝, 데이터라벨링 외 수정일 22/11/16",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44269913
[주4일제] 디지털마케팅 퍼포먼스 마케터(AE) 신입/경력 채용,(주)디포캐스트,"경력무관학력무관정규직·기간제2,700 이상 (면접 후 협의)",서울강남구,"SNS마케팅, 디지털마케팅, 모바일마케팅, 콘텐츠마케팅, 퍼포먼스마케팅 외 수정일 22/10/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44175700
인공지능(AI)·빅데이터 클라우드 팀장/팀원 모집,(주)메디치소프트,경력무관대졸↑정규직·계약직,서울마포구,"Python, AWS, 빅데이터, 머신러닝, 데이터분석가 외 등록일 22/10/17",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44217059
"3D애니메이션-아트,리거(리깅),애니메이터,PM,라이팅합성,",(주)드림팩토리스튜디오,경력무관학력무관정규직,서울강남구,"AD(아트디렉터), 애니메이션, 그림작가, 애니메이터, 캐릭터디자인 외 수정일 22/11/08",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44223707
원료구매 담당자 - 국내 대기업,FORTISPTS Partners,경력 3~10년대졸↑정규직,서울강남구,"구매총괄, 구매관리, 구매기획, 개발구매, 구매대행/소싱 외 등록일 22/11/15",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44438528
이차전지 진단/평가 연구개발 정규직 모집 공고,(주)민테크,경력무관대졸↑정규직,대전유성구,"연구원, R&D, 전기기술 등록일 22/10/06",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44144036
[네오플] 던전앤파이터 클라이언트 툴 프로그래머 모집,㈜네오플,경력무관학력무관정규직,제주제주시,"Python, C++, 알고리즘, C#, Directx 외 등록일 22/10/19",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44240666
글로벌 SNS 서비스를 만들어 갈 Flutter(플러터) 개발자 채용,(주)핫셀러,경력1년↑초대졸↑정규직,서울동대문구,"C++, 웹개발, 빅데이터, 앱개발, 프론트엔드 외 등록일 22/11/02",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44342012
[티빙] 개발부문 경력채용,(주)티빙,경력2년↑대졸↑정규직,서울마포구,"Java, 웹개발, 빅데이터, 백엔드/서버개발, 딥러닝 외 수정일 22/11/14",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44284662
